text,label
"Making Efficient Use of Demonstrations to Solve Hard Exploration
  Problems",cs
"Enjoy the Untrusted Cloud: A Secure, Scalable and Efficient SQL-like
  Query Framework for Outsourcing Data",cs
Three-quarter Sibling Regression for Denoising Observational Data,stat
"Exact inference for a class of non-linear hidden Markov models on
  general state spaces",stat
"Mobility and Blockage-aware Communications in Millimeter-Wave Vehicular
  Networks",cs
"Drop to Adapt: Learning Discriminative Features for Unsupervised Domain
  Adaptation",cs
Estimating spillovers using imprecisely measured networks,stat
"LEx: A Framework for Operationalising Layers of Machine Learning
  Explanations",cs
"Forecasting multiple functional time series in a group structure: an
  application to mortality",stat
"Informative Path Planning for Extreme Anomaly Detection in Environment
  Exploration and Monitoring",stat
"Semi-Supervised Medical Image Segmentation via Learning Consistency
  under Transformations",cs
On the implied weights of linear regression for causal inference,stat
"Non-intrusive reduced order modelling for the dynamics of geometrically
  nonlinear flat structures using three-dimensional finite elements",cs
"Accurate and Fast Federated Learning via Combinatorial Multi-Armed
  Bandits",cs
"Double Happiness: Enhancing the Coupled Gains of L-lag Coupling via
  Control Variates",stat
"Center-Outward Distribution Functions, Quantiles, Ranks, and Signs in
  $\mathbb{R}^d$",stat
An Analysis of 35+ Million Jobs of Travis CI,cs
"Can Program Synthesis be Used to Learn Merge Conflict Resolutions? An
  Empirical Analysis",cs
"On spectral algorithms for community detection in stochastic blockmodel
  graphs with vertex covariates",stat
"Epileptic seizure prediction using Pearson's product-moment correlation
  coefficient of a linear classifier from generalized Gaussian modeling",stat
A Study of the Mathematics of Deep Learning,cs
IPatch: A Remote Adversarial Patch,cs
On the Estimation of Network Complexity: Dimension of Graphons,stat
"A Comprehensive Study on Software Aging across Android Versions and
  Vendors",cs
On the Likelihood of Local Projection Models,stat
An outlier-robust model averaging approach by Mallows-type criterion,stat
"Local biplots for multi-dimensional scaling, with application to the
  microbiome",stat
Clustering with Similarity Preserving,cs
"Separable Reversible Data Hiding Based on Integer Mapping and Multi-MSB
  Prediction for Encrypted 3D Mesh Models",cs
"Circular Regression Trees and Forests with an Application to
  Probabilistic Wind Direction Forecasting",stat
Constrained Minimum Energy Designs,stat
Low Rank Forecasting,stat
Telescoping Density-Ratio Estimation,stat
"Human Intracranial EEG Quantitative Analysis and Automatic Feature
  Learning for Epileptic Seizure Prediction",cs
Forward Stability and Model Path Selection,stat
"Consistency Regularization with Generative Adversarial Networks for
  Semi-Supervised Learning",cs
"Event detection in Colombian security Twitter news using fine-grained
  latent topic analysis",cs
"Depth-wise Decomposition for Accelerating Separable Convolutions in
  Efficient Convolutional Neural Networks",cs
Feature-Dependent Cross-Connections in Multi-Path Neural Networks,cs
"ComStreamClust: a communicative multi-agent approach to text clustering
  in streaming data",cs
Hi-CI: Deep Causal Inference in High Dimensions,stat
"Random Machines Regression Approach: an ensemble support vector
  regression model with free kernel choice",stat
"Catastrophic Forgetting in Deep Graph Networks: an Introductory
  Benchmark for Graph Classification",cs
"Learning Hierarchical Feature Space Using CLAss-specific Subspace
  Multiple Kernel -- Metric Learning for Classification",cs
"Pixelate to communicate: visualising uncertainty in maps of disease risk
  and other spatial continua",stat
"Analysis of association football playing styles: an innovative method to
  cluster networks",stat
"Adversarial Robustness vs Model Compression, or Both?",cs
"Real-Time 2D-3D Deformable Registration with Deep Learning and
  Application to Lung Radiotherapy Targeting",cs
"Estimating heterogeneous survival treatment effect in observational data
  using machine learning",stat
Complexity of the dynamics of reaction systems,cs
"Bayesian shared-parameter models for analysing sardine fishing in the
  Mediterranean Sea",stat
Network interpolation,cs
"Conditional deep surrogate models for stochastic, high-dimensional, and
  multi-fidelity systems",stat
General model-free weighted envelope estimation,stat
"Quantifying the generalization error in deep learning in terms of data
  distribution and neural network smoothness",stat
"svReg: Structural Varying-coefficient regression to differentiate how
  regional brain atrophy affects motor impairment for Huntington disease
  severity groups",stat
"Re-Examining Linear Embeddings for High-Dimensional Bayesian
  Optimization",stat
Balancing the Tradeoff Between Clustering Value and Interpretability,stat
"Reactive Sample Size for Heuristic Search in Simulation-based
  Optimization",stat
Predicting the Amount of GDPR Fines,cs
BERT Based Multilingual Machine Comprehension in English and Hindi,cs
What Do Neural Networks Learn When Trained With Random Labels?,stat
"Tackling Algorithmic Bias in Neural-Network Classifiers using
  Wasserstein-2 Regularization",stat
"Squashed Shifted PMI Matrix: Bridging Word Embeddings and Hyperbolic
  Spaces",cs
"An Efficient Algorithm for Capacity-Approaching Noisy Adaptive Group
  Testing",stat
"Achieving Efficiency in Black Box Simulation of Distribution Tails with
  Self-structuring Importance Samplers",stat
"Curved patch mapping and tracking for irregular terrain modeling:
  Application to bipedal robot foot placement",cs
"Bayesian decision-theoretic design of experiments under an alternative
  model",stat
Initialization methods for optimum average silhouette width clustering,stat
Quantifying Uncertainty in Infectious Disease Mechanistic Models,stat
Expected Outcomes and Manipulations in Online Fair Division,cs
"Double Generative Adversarial Networks for Conditional Independence
  Testing",stat
"Subset Selection with Shrinkage: Sparse Linear Modeling when the SNR is
  low",stat
"How to send a real number using a single bit (and some shared
  randomness)",cs
Ranking Significant Discrepancies in Clinical Reports,cs
"A Query-Efficient Quantum Algorithm for Maximum Matching on General
  Graphs",cs
"An adaptive hybrid algorithm for social networks to choose groups with
  independent members",cs
Bayesian non-asymptotic extreme value models for environmental data,stat
"Bayesian Optimization for Policy Search via Online-Offline
  Experimentation",stat
Identifying and Analyzing Cryptocurrency Manipulations in Social Media,cs
Spatiotemporal Covariance Estimation by Shifted Partial Tracing,stat
"Point Adversarial Self Mining: A Simple Method for Facial Expression
  Recognition",cs
"A Mean Field Games model for finite mixtures of Bernoulli and
  Categorical distributions",stat
Quadratic Metric Elicitation with Application to Fairness,stat
"Bayesian classification, anomaly detection, and survival analysis using
  network inputs with application to the microbiome",stat
Universal Boosting Variational Inference,stat
"Resolving learning rates adaptively by locating Stochastic Non-Negative
  Associated Gradient Projection Points using line searches",stat
"Rethinking Representations in P&C Actuarial Science with Deep Neural
  Networks",stat
"Logistic Box-Cox Regression to Assess the Shape and Median Effect under
  Uncertainty about Model Specification",stat
"Nonstationary Gauss-Markov Processes: Parameter Estimation and
  Dispersion",cs
"Investigating Failures of Automatic Translation in the Case of
  Unambiguous Gender",cs
Combining multiple observational data sources to estimate causal effects,stat
"On the Ergodicity, Bias and Asymptotic Normality of Randomized Midpoint
  Sampling Method",stat
Model Linkage Selection for Cooperative Learning,stat
"Molweni: A Challenge Multiparty Dialogues-based Machine Reading
  Comprehension Dataset with Discourse Structure",cs
Conformal prediction interval for dynamic time-series,stat
"A Deeper Look at the Hessian Eigenspectrum of Deep Neural Networks and
  its Applications to Regularization",cs
"Goodness-of-fit tests for functional linear models based on integrated
  projections",stat
"Deep Kernel Survival Analysis and Subject-Specific Survival Time
  Prediction Intervals",stat
Simple vs complex temporal recurrences for video saliency prediction,cs
"How We Refactor and How We Document it? On the Use of Supervised Machine
  Learning Algorithms to Classify Refactoring Documentation",cs
"Neural Networks Model for Travel Time Prediction Based on ODTravel Time
  Matrix",cs
Multi Linear Regression applied to Communications systems Analysis,stat
Bayesian Conditional Transformation Models,stat
Orthogonal Cocktail BPSK: Exceeding Shannon Capacity of QPSK Input,cs
"$\alpha^{\alpha}$-Rank: Practically Scaling $\alpha$-Rank through
  Stochastic Optimisation",cs
"Using Undersampling with Ensemble Learning to Identify Factors
  Contributing to Preterm Birth",stat
"Applying the Affective Aware Pseudo Association Method to Enhance the
  Top-N Recommendations Distribution to Users in Group Emotion Recommender
  Systems",cs
"Towards More Flexible False Positive Control in Phase III Randomized
  Clinical Trials",stat
Are You All Normal? It Depends!,stat
"A Spatially Discrete Approximation to Log-Gaussian Cox Processes for
  Modelling Aggregated Disease Count Data",stat
Network Differential Connectivity Analysis,stat
"Patient-Specific Effects of Medication Using Latent Force Models with
  Gaussian Processes",stat
Doubly Semi-Implicit Variational Inference,stat
"SPMF: A Social Trust and Preference Segmentation-based Matrix
  Factorization Recommendation Algorithm",cs
"Movie Box office Prediction via Joint Actor Representations and Social
  Media Sentiment",cs
"System identification using Bayesian neural networks with nonparametric
  noise models",stat
Road Curb Detection Using A Novel Tensor Voting Algorithm,cs
"A Polynomial Time Algorithm for Log-Concave Maximum Likelihood via
  Locally Exponential Families",cs
"Inverse probability of censoring weighting for visual predictive checks
  of time-to-event models with time-varying covariates",stat
"Optimal transport couplings of Gibbs samplers on partitions for unbiased
  estimation",stat
"A robust multivariate linear non-parametric maximum likelihood model for
  ties",stat
"Temporal Cluster Matching for Change Detection of Structures from
  Satellite Imagery",cs
Integrality Gap of the Vertex Cover Linear Programming Relaxation,cs
"Improved Fixed-Rank Nystr\""om Approximation via QR Decomposition:
  Practical and Theoretical Aspects",stat
"Formulas for Data-driven Control: Stabilization, Optimality and
  Robustness",cs
Understanding MCMC Dynamics as Flows on the Wasserstein Space,stat
"Randomized p-values for multiple testing and their application in
  replicability analysis",stat
Domain Adaption for Knowledge Tracing,cs
"Computational Model for Urban Growth Using Socioeconomic Latent
  Parameters",stat
Long-term Spatial Modeling for Characteristics of Extreme Heat Events,stat
"Scalable Alignment of Process Models and Event Logs: An Approach Based
  on Automata and S-Components",cs
"The MELODIC family for simultaneous binary logistic regression in a
  reduced space",stat
Generative Synthesis of Insurance Datasets,stat
"ASAP: Architecture Search, Anneal and Prune",stat
"Uncloneable Encryption, Revisited",cs
"VarFA: A Variational Factor Analysis Framework For Efficient Bayesian
  Learning Analytics",stat
"NILE : Natural Language Inference with Faithful Natural Language
  Explanations",cs
Generative Inverse Deep Reinforcement Learning for Online Recommendation,cs
On Racial Disparities in Recent Fatal Police Shootings,stat
"Safety-margin-based design and redesign considering mixed epistemic
  model uncertainty and aleatory parameter uncertainty",stat
An algorithmic weakening of the Erd\H{o}s-Hajnal conjecture,cs
"Hamiltonian zigzag sampler got more momentum than its Markovian
  counterpart: Equivalence of two zigzags under a momentum refreshment limit",stat
"A New Causal Approach to Account for Treatment Switching in Randomized
  Experiments under a Structural Cumulative Survival Model",stat
Modelling columnarity of pyramidal cells in the human cerebral cortex,stat
Exclusive Topic Modeling,stat
Online Boosting for Multilabel Ranking with Top-k Feedback,stat
Securing Smart Contract On The Fly,cs
"Combining Unsupervised and Supervised Learning for Asset Class Failure
  Prediction in Power Systems",stat
"Meta Cyclical Annealing Schedule: A Simple Approach to Avoiding
  Meta-Amortization Error",stat
Factor-level Attentive ICF for Recommendation,cs
"Sound source ranging using a feed-forward neural network with
  fitting-based early stopping",cs
Multiparty Session Type-safe Web Development with Static Linearity,cs
A Quadratic Programming Solution to the FICO Credit Scoring Problem,stat
"Uncalibrated Neural Inverse Rendering for Photometric Stereo of General
  Surfaces",cs
"Random Dictators with a Random Referee: Constant Sample Complexity
  Mechanisms for Social Choice",cs
"Evaluating distributional regression strategies for modelling
  self-reported sexual age-mixing",stat
"On MCMC for variationally sparse Gaussian processes: A pseudo-marginal
  approach",stat
"Generalized Operating Procedure for Deep Learning: an Unconstrained
  Optimal Design Perspective",cs
"The Curse of Performance Instability in Analysis Datasets: Consequences,
  Source, and Suggestions",cs
"Using Inaudible Audio to Improve Indoor-Localization- and
  Proximity-Aware Intelligent Applications",cs
"Development of modeling and control strategies for an approximated
  Gaussian process",stat
Recyclable Gaussian Processes,stat
What is the value of experimentation & measurement?,stat
"An attention-based unsupervised adversarial model for movie review spam
  detection",cs
PairRank: Online Pairwise Learning to Rank by Divide-and-Conquer,cs
Embedded Large-Scale Handwritten Chinese Character Recognition,cs
"Experimental Study on Probabilistic ToA and AoA Joint Localization in
  Real Indoor Environments",cs
Identification of taxon through fuzzy classification,stat
DADA: Differentiable Automatic Data Augmentation,cs
"Applying the Decisiveness and Robustness Metrics to Convolutional Neural
  Networks",cs
"Humanoid: A Deep Learning-based Approach to Automated Black-box Android
  App Testing",cs
"Analyzing initial stage of COVID-19 transmission through Bayesian
  time-varying model",stat
Causal version of Principle of Insufficient Reason and MaxEnt,stat
"Model-based simultaneous inference for multiple subgroups and multiple
  endpoints",stat
"Estimation of causal effects of multiple treatments in healthcare
  database studies with rare outcomes",stat
Gillian: Compositional Symbolic Execution for All,cs
Bayesian Parameter Identification for Jump Markov Linear Systems,stat
Software Engineering Meets Deep Learning: A Mapping Study,cs
TabNet: Attentive Interpretable Tabular Learning,cs
Neural Smoke Stylization with Color Transfer,cs
"Point and interval estimation of the target dose using weighted
  regression modelling",stat
"Fast Multi-resolution Segmentation for Nonstationary Hawkes Process
  Using Cumulants",stat
dynnode2vec: Scalable Dynamic Network Embedding,cs
"Linear Codes Of 2-Designs As Subcodes Of The Extended Generalized
  Reed-Muller Codes",cs
"Hierarchical network design for nitrogen dioxide measurement in urban
  environments, part 1: proxy selection",stat
On estimation and inference in latent structure random graphs,stat
"Spectral Efficiency Analysis of Cell-Free Massive MIMO Systems with
  Zero-Forcing Detector",cs
"Variational Bayesian Sequence-to-Sequence Networks for Memory-Efficient
  Sign Language Translation",stat
"Deep Reinforcement Learning Controller for 3D Path-following and
  Collision Avoidance by Autonomous Underwater Vehicles",cs
"Using Model Checking to Formally Verify Rendezvous Algorithms for Robots
  with Lights in Euclidean Space",cs
Bounded languages described by GF(2)-grammars,cs
"Referenced Thermodynamic Integration for Bayesian Model Selection:
  Application to COVID-19 Model Selection",stat
Multimodal Dependent Type Theory,cs
"REFINED (REpresentation of Features as Images with NEighborhood
  Dependencies): A novel feature representation for Convolutional Neural
  Networks",cs
On function-on-function regression: Partial least squares approach,stat
"New Formulation of Mixed-Integer Conic Programming for Globally Optimal
  Grasp Planning",cs
"Beyond Cell-free MIMO: Energy Efficient Reconfigurable Intelligent
  Surface Aided Cell-free MIMO Communications",cs
"Posterior Distribution for the Number of Clusters in Dirichlet Process
  Mixture Models",stat
"Sensor selection on graphs via data-driven node sub-sampling in network
  time series",stat
Global Convergence of Gradient Descent for Deep Linear Residual Networks,cs
"A set of efficient methods to generate high-dimensional binary data with
  specified correlation structures",stat
"Ensemble Methods to Assess Heterogeneity in Joint Development with
  Nonlinear Trajectories",stat
Driving Datasets Literature Review,cs
"The MCC-F1 curve: a performance evaluation technique for binary
  classification",stat
"BAIL: Best-Action Imitation Learning for Batch Deep Reinforcement
  Learning",cs
"Conditionally Gaussian Random Sequences for an Integrated Variance
  Estimator with Correlation between Noise and Returns",stat
Regularizing Deep Multi-Task Networks using Orthogonal Gradients,cs
"How to Improve AI Tools (by Adding in SE Knowledge): Experiments with
  the TimeLIME Defect Reduction Tool",cs
"Modeling spatial data using local likelihood estimation and a Mat\'ern
  to SAR translation",stat
"Vulnerability Prediction Based on Weighted Software Network for Secure
  Software Building",cs
Digital History and History Teaching in the Digital Age,cs
Fine-tuning ERNIE for chest abnormal imaging signs extraction,cs
Parameter-Free Online Convex Optimization with Sub-Exponential Noise,cs
"Divide-and-Conquer Large Scale Capacitated Arc Routing Problems with
  Route Cutting Off Decomposition",cs
"On the Hardness of Problems Involving Negator Relationships in an
  Artificial Hormone System",cs
"Feature quantization for parsimonious and interpretable predictive
  models",stat
"Efficient Particle Smoothing for Bayesian Inference in Dynamic Survival
  Models",stat
Efficient Pose Selection for Interactive Camera Calibration,cs
Comparative analysis of the original and amplitude permutations,stat
"Robust Classification of High-Dimensional Spectroscopy Data Using Deep
  Learning and Data Synthesis",cs
"Learning to Walk: Spike Based Reinforcement Learning for Hexapod Robot
  Central Pattern Generation",cs
What Can Style Transfer and Paintings Do For Model Robustness?,cs
"Nishimori meets Bethe: a spectral method for node classification in
  sparse weighted graphs",stat
A regression framework for a probabilistic measure of cost-effectiveness,stat
"Deep recurrent Gaussian process with variational Sparse Spectrum
  approximation",stat
Universalization of any adversarial attack using very few test examples,cs
"Deductive semiparametric estimation in Double-Sampling Designs with
  application to PEPFAR",stat
"A multiple testing framework for diagnostic accuracy studies with
  co-primary endpoints",stat
"Compound vectors of subordinators and their associated positive L\'evy
  copulas",stat
"Model-Based Robust Deep Learning: Generalizing to Natural,
  Out-of-Distribution Data",cs
"Accelerating Proposal Generation Network for \\Fast Face Detection on
  Mobile Devices",cs
"Learning to Deceive Knowledge Graph Augmented Models via Targeted
  Perturbation",cs
"Tree-Wasserstein Barycenter for Large-Scale Multilevel Clustering and
  Scalable Bayes",stat
Multiple Causes: A Causal Graphical View,stat
"High-Performance Statistical Computing in the Computing Environments of
  the 2020s",stat
Estimands and Inference in Cluster-Randomized Vaccine Trials,stat
"Rapid Robust Principal Component Analysis: CUR Accelerated Inexact Low
  Rank Estimation",stat
ALIGN: A System for Automating Analog Layout,cs
Bayesian joint modeling of chemical structure and dose response curves,stat
"Neural Path Hunter: Reducing Hallucination in Dialogue Systems via Path
  Grounding",cs
Graphon Estimation from Partially Observed Network Data,stat
Gradient Boosting for Linear Mixed Models,stat
Access-based Intuitionistic Knowledge,cs
G-TAD: Sub-Graph Localization for Temporal Action Detection,cs
"Numerically more stable computation of the p-values for the two-sample
  Kolmogorov-Smirnov test",stat
Emulation of stochastic simulators using generalized lambda models,stat
Worst Smells and Their Worst Reasons,cs
MPCC: Matching Priors and Conditionals for Clustering,cs
An Evaluation of Edge TPU Accelerators for Convolutional Neural Networks,cs
Identification of Underlying Dynamic System from Noisy Data with Splines,stat
"Classification and Segmentation of Pulmonary Lesions in CT images using
  a combined VGG-XGBoost method, and an integrated Fuzzy Clustering-Level Set
  technique",cs
"Point process models for sequence detection in high-dimensional neural
  spike trains",stat
An Incremental Clustering Method for Anomaly Detection in Flight Data,cs
"Understanding and predicting travel time with spatio-temporal features
  of network traffic flow, weather and incidents",stat
"Local Bures-Wasserstein Transport: A Practical and Fast Mapping
  Approximation",stat
"Automatic Hierarchical Classification of Kelps using Deep Residual
  Features",cs
Generalized Elliptical Slice Sampling with Regional Pseudo-priors,stat
"On Linear Stochastic Approximation: Fine-grained Polyak-Ruppert and
  Non-Asymptotic Concentration",stat
"A Framework for General Conformable Fractional Grey System Models: A
  Physical Perspective and its Actual Application",stat
Adaptive Wing Loss for Robust Face Alignment via Heatmap Regression,cs
Causal Inference on Non-linear Spaces: Distribution Functions and Beyond,stat
"Learning to combine primitive skills: A step towards versatile robotic
  manipulation",cs
Quantile Regression with Interval Data,stat
Adversarial Generative Grammars for Human Activity Prediction,cs
"Structured Machine Learning Tools for Modelling Characteristics of
  Guided Waves",stat
"Efficient reduction of nondeterministic automata with application to
  language inclusion testing",cs
On Regret with Multiple Best Arms,stat
SIGMA : Strengthening IDS with GAN and Metaheuristics Attacks,cs
Neural Ordinary Differential Equations on Manifolds,stat
Rate Maximization in Vehicular uRLLC with Optical Camera Communications,cs
"Image Clustering using an Augmented Generative Adversarial Network and
  Information Maximization",cs
"P6: A Declarative Language for Integrating Machine Learning in Visual
  Analytics",cs
"Characterizing functional relationships between anthropogenic and
  biological sounds: A western New York state soundscape case study",stat
Gradient Estimation with Stochastic Softmax Tricks,stat
KCAT: A Knowledge-Constraint Typing Annotation Tool,cs
Difficulty-aware Meta-learning for Rare Disease Diagnosis,cs
"Penalized Estimation and Forecasting of Multiple Subject Intensive
  Longitudinal Data",stat
"DCMD: Distance-based Classification Using Mixture Distributions on
  Microbiome Data",stat
"Modeling the social media relationships of Irish politicians using a
  generalized latent space stochastic blockmodel",stat
Change-point detection in dynamic networks via graphon estimation,stat
Saddlepoint-adjusted inversion of characteristic functions,stat
MolSSI and BioExcel Workflow Workshop 2018 Report,cs
Robustness of Model Predictions under Extension,stat
Perturbations and Causality in Gaussian Latent Variable Models,stat
Discovering Salient Anatomical Landmarks by Predicting Human Gaze,cs
"Simultaneous inference of periods and period-luminosity relations for
  Mira variable stars",stat
"Self-supervised Keypoint Correspondences for Multi-Person Pose
  Estimation and Tracking in Videos",cs
"Modelling spine locations on dendrite trees using inhomogeneous Cox
  point processes",stat
Streaming Adaptive Nonparametric Variational Autoencoder,stat
"Stop-and-Go: Exploring Backdoor Attacks on Deep Reinforcement
  Learning-based Traffic Congestion Control Systems",cs
Fast Multivariate Probit Estimation via a Two-Stage Composite Likelihood,stat
Linear Convergence of Adaptive Stochastic Gradient Descent,stat
"A node-charge graph-based online carshare rebalancing policy with
  capacitated electric charging",cs
"Ethics, Data Science, and Health and Human Services: Embedded Bias in
  Policy Approaches to Teen Pregnancy Prevention",cs
A linear time method for the detection of point and collective anomalies,stat
"Default Bayes Factors for Testing the (In)equality of Several Population
  Variances",stat
Camera-Based Adaptive Trajectory Guidance via Neural Networks,cs
An Optimal Stable Selective Model Inversion for Nonminimum-phase Systems,cs
"Complex Stiffness Model of Physical Human-Robot Interaction:
  Implications for Control of Performance Augmentation Exoskeletons",cs
Blockchain and Sustainability: A Tertiary Study,cs
Altruistic Decision-Making for Autonomous Driving with Sparse Rewards,cs
"SIGNED: A Challenge-Response Based Interrogation Scheme for Simultaneous
  Watermarking and Trojan Detection",cs
Discovering Association with Copula Entropy,cs
"Sequential vs. Integrated Algorithm Selection and Configuration: A Case
  Study for the Modular CMA-ES",cs
Estimating Treatment Effects with Causal Forests: An Application,stat
"Estimating a pressure dependent thermal conductivity coefficient with
  applications in food technology",stat
Lip-reading with Densely Connected Temporal Convolutional Networks,cs
Let's Push Things Forward: A Survey on Robot Pushing,cs
"Breaking Quadratic Time for Small Vertex Connectivity and an
  Approximation Scheme",cs
Practical and Consistent Estimation of f-Divergences,stat
A Bayesian Mixture Modelling of Stop Signal Reaction Time Distributions,stat
Universal Text Representation from BERT: An Empirical Study,cs
"Three issues impeding communication of statistical methodology for
  incomplete data",stat
"Estimate of the Neural Network Dimension using Algebraic Topology and
  Lie Theory",stat
Localization-aware Channel Pruning for Object Detection,cs
Ridge Regularizaton: an Essential Concept in Data Science,stat
Discovery and recognition of motion primitives in human activities,cs
Organizing Network Management Logic with Circular Economy Principles,cs
3DMotion-Net: Learning Continuous Flow Function for 3D Motion Prediction,cs
Transporting Experimental Results with Entropy Balancing,stat
"Dealing with Stochastic Volatility in Time Series Using the R Package
  stochvol",stat
"What is the best predictor that you can compute in five minutes using a
  given Bayesian hierarchical model?",stat
"Modeling the Health Expenditure in Japan, 2011. A Healthy Life Years
  Lost Methodology",stat
$k$-means clustering of extremes,stat
"Multivariate hierarchical analysis of car crashes data considering a
  spatial network lattice",stat
Multiscale Fisher's Independence Test for Multivariate Dependence,stat
The Shapley Value of Tuples in Query Answering,cs
"A sub-critical branching process model for application to analysing Y
  haplotype DNA mixtures",stat
"Accelerating Generalized Linear Models with MLWeaving: A
  One-Size-Fits-All System for Any-precision Learning (Technical Report)",cs
Radioactive data: tracing through training,stat
Sketching Merge Trees,cs
"Self-Supervised Learning of Remote Sensing Scene Representations Using
  Contrastive Multiview Coding",cs
Multi-modal Dense Video Captioning,cs
Imperceptible Adversarial Attacks on Tabular Data,stat
Black-Box Inference for Non-Linear Latent Force Models,stat
"Modeling and Computation of High Efficiency and Efficacy Multi-Step
  Batch Testing for Infectious Diseases",stat
"Unwrapping The Black Box of Deep ReLU Networks: Interpretability,
  Diagnostics, and Simplification",cs
A note on marginal correlation based screening,stat
Efficient computation and analysis of distributional Shapley values,stat
"Transforming Facial Weight of Real Images by Editing Latent Space of
  StyleGAN",cs
Achieving Fairness via Post-Processing in Web-Scale Recommender Systems,stat
DeeperLab: Single-Shot Image Parser,cs
Spatiotemporal Action Recognition in Restaurant Videos,cs
Principal Boundary on Riemannian Manifolds,stat
Distributed Bayesian clustering using finite mixture of mixtures,stat
"An Online Updating Approach for Testing the Proportional Hazards
  Assumption with Streams of Survival Data",stat
"Persistent Reductions in Regularized Loss Minimization for Variable
  Selection",stat
"Towards SocialVR: Evaluating a Novel Technology for Watching Videos
  Together",cs
"Sequential change-point detection for mutually exciting point processes
  over networks",stat
"Microservices based Framework to Support Interoperable IoT Applications
  for Enhanced Data Analytics",cs
Expert-Augmented Machine Learning,stat
On the probability of generating a primitive matrix,cs
Estimating Stochastic Poisson Intensities Using Deep Latent Models,stat
Non-convex Learning via Replica Exchange Stochastic Gradient MCMC,stat
EvoK: Connecting loved ones through Heart Rate sharing,cs
Subsidising Inclusive Insurance to Reduce Poverty,stat
"Interpreting and Unifying Graph Neural Networks with An Optimization
  Framework",cs
"Architecture-Aware, High Performance Transaction for Persistent Memory",cs
"Higher-Order Recursion Schemes and Collapsible Pushdown Automata:
  Logical Properties",cs
Soft Sampling for Robust Object Detection,cs
"MBAPose: Mask and Bounding-Box Aware Pose Estimation of Surgical
  Instruments with Photorealistic Domain Randomization",cs
Continual learning with hypernetworks,cs
"Geometric and Stiffness Modeling and Design of Calibration Experiments
  for the 7 dof Serial Manipulator KUKA iiwa 14 R820",cs
Battle between Rate and Error in Minimizing Age of Information,cs
"Look before you Hop: Conversational Question Answering over Knowledge
  Graphs Using Judicious Context Expansion",cs
Evaluating a bot detection model on git commit messages,cs
Robust and flexible inference for the covariate-specific ROC curve,stat
"Ensemble approximate control variate estimators: Applications to
  multi-fidelity importance sampling",stat
"Optimal Replacement Policy under Cumulative Damage Model and Strength
  Degradation with Applications",stat
"To tune or not to tune, a case study of ridge logistic regression in
  small or sparse datasets",stat
Decomposing Probabilistic Lambda-calculi,cs
Metropolis-Hastings with Averaged Acceptance Ratios,stat
Estimating Barycenters of Measures in High Dimensions,stat
"Person Re-identification with Metric Learning using Privileged
  Information",cs
"Inferring Heterogeneous Causal Effects in Presence of Spatial
  Confounding",stat
Rank aggregation for non-stationary data streams,stat
"Disease Labeling via Machine Learning is NOT quite the same as Medical
  Diagnosis",cs
Sharp threshold for alignment of graph databases with Gaussian weights,stat
Online Convex Matrix Factorization with Representative Regions,cs
"DeepTrust: A Deep Learning Approach for Measuring Social Media Users
  Trustworthiness",cs
Learning on heterogeneous graphs using high-order relations,stat
"The flare Package for High Dimensional Linear Regression and Precision
  Matrix Estimation in R",stat
Optimal quantization for nonuniform Cantor distributions,stat
"Bridging the gap between Human Action Recognition and Online Action
  Detection",cs
Multi-Source Unsupervised Hyperparameter Optimization,cs
"Proceedings of the Third Workshop on Software Foundations for Data
  Interoperability (SFDI2019+), October 28, 2019, Fukuoka, Japan",cs
"Timber Volume Estimation Based on Airborne Laser Scanning -- Comparing
  the Use of National Forest Inventory and Forest Management Inventory Data",stat
"Bayesian Analysis of Spatial Generalized Linear Mixed Models with
  Laplace Random Fields",stat
Deep orthogonal linear networks are shallow,stat
"Parameterized MDPs and Reinforcement Learning Problems -- A Maximum
  Entropy Principle Based Framework",cs
Discovering Latent Covariance Structures for Multiple Time Series,stat
"Developing Concurrent Coding: An unconventional encoding scheme applied
  to visible light communications",cs
New plans orthogonal through the block factor,stat
"Reinforcement Learning Based Temporal Logic Control with Maximum
  Probabilistic Satisfaction",cs
Do Deep Generative Models Know What They Don't Know?,stat
"Simple statistical models and sequential deep learning for Lithium-ion
  batteries degradation under dynamic conditions: Fractional Polynomials vs
  Neural Networks",stat
"Transcriptome-wide prediction of prostate cancer gene expression from
  histopathology images using co-expression based convolutional neural networks",cs
Distributed Bayesian Online Learning for Cooperative Manipulation,cs
"Adaptive Algorithms for Multi-armed Bandit with Composite and Anonymous
  Feedback",cs
Slice and Dice: A Physicalization Workflow for Anatomical Edutainment,cs
"Channel Estimation for Intelligent Reflecting Surface Assisted Multiuser
  Communications",cs
"Graph Polish: A Novel Graph Generation Paradigm for Molecular
  Optimization",cs
Towards Universal Representation Learning for Deep Face Recognition,cs
"Survey on Deep Multi-modal Data Analytics: Collaboration, Rivalry and
  Fusion",cs
Parameter Sharing Decoder Pair for Auto Composing,cs
"Pretraining Image Encoders without Reconstruction via Feature Prediction
  Loss",cs
"Using Nonlinear Normal Modes for Execution of Efficient Cyclic Motions
  in Articulated Soft Robots",cs
Enhancing Certifiable Robustness via a Deep Model Ensemble,stat
Phase Transition Behavior of Cardinality and XOR Constraints,cs
"Imagining The Road Ahead: Multi-Agent Trajectory Prediction via
  Differentiable Simulation",stat
